Attirbutes,semantic attribute,texture_status,striped,114016
Attirbutes,semantic attribute,texture_status,clean,114017
Attirbutes,semantic attribute,texture_status,wet,114018
Attirbutes,semantic attribute,texture_status,decorated,114019
Attirbutes,semantic attribute,texture_status,with_letter,114020
Attirbutes,semantic attribute,texture_status,with_sticker,114021
Attirbutes,semantic attribute,texture_status,smooth,114022
Attirbutes,semantic attribute,texture_status,fluffy,114023
Attirbutes,semantic attribute,texture_status,spotted,114024
Attirbutes,semantic attribute,texture_status,wavy,114025
Attirbutes,semantic attribute,texture_status,dry,114026
Attirbutes,semantic attribute,texture_status,checkered,114027
Attirbutes,semantic attribute,texture_status,mesh,114028
Attirbutes,semantic attribute,texture_status,rusty,114029
Attirbutes,semantic attribute,texture_status,transparent,114030
Attirbutes,semantic attribute,texture_status,cracked,114031
Attirbutes,semantic attribute,texture_status,with_label,114032
Attirbutes,semantic attribute,texture_status,snowy,114033
Attirbutes,semantic attribute,texture_status,with_a_hole,114034
Attirbutes,semantic attribute,texture_status,painted,114035
Attirbutes,semantic attribute,texture_status,rough,114036
Attirbutes,geometric attribute,,Front-view,120001
Attirbutes,geometric attribute,,Rear-view,120002
Attirbutes,geometric attribute,,Side-view,120003
Attirbutes,geometric attribute,,Upper-view,120004
Attirbutes,geometric attribute,,Lower-view,120005
Attirbutes,geometric attribute,,Unknown,120006
